[INFO 22:07:27] miguelsolorio.symbols activated
[INFO 22:07:27] symbols.hidesExplorerArrows changed, updating to false
[INFO 22:07:27] symbols.folders.associations changed, updating to undefined
[INFO 22:07:27] symbols.files.associations changed, updating to undefined
[INFO 22:08:36] symbols.hidesExplorerArrows changed, updating to false
[INFO 22:08:36] symbols.folders.associations changed, updating to undefined
[INFO 22:08:36] symbols.files.associations changed, updating to undefined
[INFO 22:17:25] symbols.hidesExplorerArrows changed, updating to false
[INFO 22:17:25] symbols.folders.associations changed, updating to undefined
[INFO 22:17:25] symbols.files.associations changed, updating to undefined
[INFO 22:18:35] symbols.hidesExplorerArrows changed, updating to false
[INFO 22:18:35] symbols.folders.associations changed, updating to undefined
[INFO 22:18:35] symbols.files.associations changed, updating to undefined
[INFO 22:18:56] symbols.hidesExplorerArrows changed, updating to false
[INFO 22:18:56] symbols.folders.associations changed, updating to undefined
[INFO 22:18:56] symbols.files.associations changed, updating to undefined
[INFO 22:20:06] symbols.hidesExplorerArrows changed, updating to false
[INFO 22:20:06] symbols.folders.associations changed, updating to undefined
[INFO 22:20:06] symbols.files.associations changed, updating to undefined
[INFO 22:20:51] symbols.hidesExplorerArrows changed, updating to false
[INFO 22:20:51] symbols.folders.associations changed, updating to undefined
[INFO 22:20:51] symbols.files.associations changed, updating to undefined
[INFO 22:22:31] symbols.hidesExplorerArrows changed, updating to false
[INFO 22:22:31] symbols.folders.associations changed, updating to undefined
[INFO 22:22:31] symbols.files.associations changed, updating to undefined
[INFO 22:24:04] symbols.hidesExplorerArrows changed, updating to false
[INFO 22:24:04] symbols.folders.associations changed, updating to undefined
[INFO 22:24:04] symbols.files.associations changed, updating to undefined
[INFO 22:25:14] symbols.hidesExplorerArrows changed, updating to false
[INFO 22:25:14] symbols.folders.associations changed, updating to undefined
[INFO 22:25:14] symbols.files.associations changed, updating to undefined
[INFO 22:26:51] symbols.hidesExplorerArrows changed, updating to false
[INFO 22:26:51] symbols.folders.associations changed, updating to undefined
[INFO 22:26:51] symbols.files.associations changed, updating to undefined
[INFO 22:28:31] symbols.hidesExplorerArrows changed, updating to false
[INFO 22:28:31] symbols.folders.associations changed, updating to undefined
[INFO 22:28:31] symbols.files.associations changed, updating to undefined
[INFO 22:29:22] symbols.hidesExplorerArrows changed, updating to false
[INFO 22:29:22] symbols.folders.associations changed, updating to undefined
[INFO 22:29:22] symbols.files.associations changed, updating to undefined
[INFO 22:30:32] symbols.hidesExplorerArrows changed, updating to false
[INFO 22:30:32] symbols.folders.associations changed, updating to undefined
[INFO 22:30:32] symbols.files.associations changed, updating to undefined
[INFO 22:37:44] symbols.hidesExplorerArrows changed, updating to false
[INFO 22:37:44] symbols.folders.associations changed, updating to undefined
[INFO 22:37:44] symbols.files.associations changed, updating to undefined
[INFO 22:38:54] symbols.hidesExplorerArrows changed, updating to false
[INFO 22:38:54] symbols.folders.associations changed, updating to undefined
[INFO 22:38:54] symbols.files.associations changed, updating to undefined
[INFO 22:41:18] symbols.hidesExplorerArrows changed, updating to false
[INFO 22:41:18] symbols.folders.associations changed, updating to undefined
[INFO 22:41:18] symbols.files.associations changed, updating to undefined
[INFO 22:42:28] symbols.hidesExplorerArrows changed, updating to false
[INFO 22:42:28] symbols.folders.associations changed, updating to undefined
[INFO 22:42:28] symbols.files.associations changed, updating to undefined
[INFO 22:55:08] symbols.hidesExplorerArrows changed, updating to false
[INFO 22:55:08] symbols.folders.associations changed, updating to undefined
[INFO 22:55:08] symbols.files.associations changed, updating to undefined
[INFO 22:56:18] symbols.hidesExplorerArrows changed, updating to false
[INFO 22:56:18] symbols.folders.associations changed, updating to undefined
[INFO 22:56:18] symbols.files.associations changed, updating to undefined
[INFO 23:01:35] symbols.hidesExplorerArrows changed, updating to false
[INFO 23:01:35] symbols.folders.associations changed, updating to undefined
[INFO 23:01:35] symbols.files.associations changed, updating to undefined
[INFO 23:01:42] symbols.hidesExplorerArrows changed, updating to false
[INFO 23:01:42] symbols.folders.associations changed, updating to undefined
[INFO 23:01:42] symbols.files.associations changed, updating to undefined
[INFO 23:01:42] symbols.hidesExplorerArrows changed, updating to false
[INFO 23:01:42] symbols.folders.associations changed, updating to undefined
[INFO 23:01:42] symbols.files.associations changed, updating to undefined
[INFO 23:02:00] symbols.hidesExplorerArrows changed, updating to false
[INFO 23:02:00] symbols.folders.associations changed, updating to undefined
[INFO 23:02:00] symbols.files.associations changed, updating to undefined
[INFO 23:09:58] symbols.hidesExplorerArrows changed, updating to false
[INFO 23:09:58] symbols.folders.associations changed, updating to undefined
[INFO 23:09:58] symbols.files.associations changed, updating to undefined
[INFO 23:09:59] symbols.hidesExplorerArrows changed, updating to false
[INFO 23:09:59] symbols.folders.associations changed, updating to undefined
[INFO 23:09:59] symbols.files.associations changed, updating to undefined
[INFO 23:11:00] symbols.hidesExplorerArrows changed, updating to false
[INFO 23:11:00] symbols.folders.associations changed, updating to undefined
[INFO 23:11:00] symbols.files.associations changed, updating to undefined
[INFO 23:20:46] symbols.hidesExplorerArrows changed, updating to false
[INFO 23:20:46] symbols.folders.associations changed, updating to undefined
[INFO 23:20:46] symbols.files.associations changed, updating to undefined
[INFO 23:23:32] symbols.hidesExplorerArrows changed, updating to false
[INFO 23:23:32] symbols.folders.associations changed, updating to undefined
[INFO 23:23:32] symbols.files.associations changed, updating to undefined
[INFO 23:25:24] symbols.hidesExplorerArrows changed, updating to false
[INFO 23:25:24] symbols.folders.associations changed, updating to undefined
[INFO 23:25:24] symbols.files.associations changed, updating to undefined
[INFO 23:25:58] symbols.hidesExplorerArrows changed, updating to false
[INFO 23:25:58] symbols.folders.associations changed, updating to undefined
[INFO 23:25:58] symbols.files.associations changed, updating to undefined
[INFO 23:26:03] symbols.hidesExplorerArrows changed, updating to false
[INFO 23:26:03] symbols.folders.associations changed, updating to undefined
[INFO 23:26:03] symbols.files.associations changed, updating to undefined
[INFO 23:26:33] symbols.hidesExplorerArrows changed, updating to false
[INFO 23:26:33] symbols.folders.associations changed, updating to undefined
[INFO 23:26:33] symbols.files.associations changed, updating to undefined
[INFO 23:27:16] symbols.hidesExplorerArrows changed, updating to false
[INFO 23:27:16] symbols.folders.associations changed, updating to undefined
[INFO 23:27:16] symbols.files.associations changed, updating to undefined
[INFO 23:28:38] symbols.hidesExplorerArrows changed, updating to false
[INFO 23:28:38] symbols.folders.associations changed, updating to undefined
[INFO 23:28:38] symbols.files.associations changed, updating to undefined
