2023-12-09 15:52:13.666 [info] Extension host with pid 2051 started
2023-12-09 15:52:13.666 [info] Skipping acquiring lock for /home/carlos/.config/Code/User/workspaceStorage/fe032359c998caf2b50e736ea47ca45e.
2023-12-09 15:52:13.804 [info] ExtensionService#_doActivateExtension vscode.emmet, startup: false, activationEvent: 'onLanguage'
2023-12-09 15:52:13.808 [info] ExtensionService#_doActivateExtension vscode.typescript-language-features, startup: false, activationEvent: 'onLanguage:javascriptreact'
2023-12-09 15:52:13.825 [info] ExtensionService#_doActivateExtension VisualStudioExptTeam.intellicode-api-usage-examples, startup: false, activationEvent: 'onLanguage:javascriptreact'
2023-12-09 15:52:13.864 [info] ExtensionService#_doActivateExtension VisualStudioExptTeam.vscodeintellicode, startup: false, activationEvent: 'onLanguage:javascriptreact'
2023-12-09 15:52:14.534 [info] ExtensionService#_doActivateExtension vscode.git-base, startup: true, activationEvent: '*', root cause: vscode.git
2023-12-09 15:52:14.536 [info] ExtensionService#_doActivateExtension christian-kohler.path-intellisense, startup: true, activationEvent: '*'
2023-12-09 15:52:14.545 [info] ExtensionService#_doActivateExtension rebornix.project-snippets, startup: true, activationEvent: '*'
2023-12-09 15:52:14.546 [info] ExtensionService#_doActivateExtension vscode.npm, startup: true, activationEvent: 'workspaceContains:package.json'
2023-12-09 15:52:14.610 [info] ExtensionService#_doActivateExtension vscode.git, startup: true, activationEvent: '*'
2023-12-09 15:52:14.628 [info] ExtensionService#_doActivateExtension vscode.github, startup: true, activationEvent: '*'
2023-12-09 15:52:14.735 [info] Eager extensions activated
2023-12-09 15:52:14.743 [info] ExtensionService#_doActivateExtension vscode.debug-auto-launch, startup: false, activationEvent: 'onStartupFinished'
2023-12-09 15:52:14.744 [info] ExtensionService#_doActivateExtension vscode.merge-conflict, startup: false, activationEvent: 'onStartupFinished'
2023-12-09 15:52:14.748 [info] ExtensionService#_doActivateExtension aaron-bond.better-comments, startup: false, activationEvent: 'onStartupFinished'
2023-12-09 15:52:14.751 [info] ExtensionService#_doActivateExtension Equinusocio.vsc-material-theme, startup: false, activationEvent: 'onStartupFinished'
2023-12-09 15:52:14.755 [info] ExtensionService#_doActivateExtension equinusocio.vsc-material-theme-icons, startup: false, activationEvent: 'onStartupFinished'
2023-12-09 15:52:14.770 [info] ExtensionService#_doActivateExtension ionutvmi.path-autocomplete, startup: false, activationEvent: 'onStartupFinished'
2023-12-09 15:52:14.774 [info] ExtensionService#_doActivateExtension miguelsolorio.symbols, startup: false, activationEvent: 'onStartupFinished'
2023-12-09 15:52:14.780 [info] ExtensionService#_doActivateExtension PKief.material-icon-theme, startup: false, activationEvent: 'onStartupFinished'
2023-12-09 15:52:14.784 [info] ExtensionService#_doActivateExtension Thinker.font-awesome, startup: false, activationEvent: 'onStartupFinished'
2023-12-09 15:52:14.878 [info] ExtensionService#_doActivateExtension usernamehw.errorlens, startup: false, activationEvent: 'onStartupFinished'
2023-12-09 15:52:14.879 [info] ExtensionService#_doActivateExtension zhuangtongfa.material-theme, startup: false, activationEvent: 'onStartupFinished'
2023-12-09 15:52:14.928 [info] ExtensionService#_doActivateExtension vscode.json-language-features, startup: false, activationEvent: 'onLanguage:jsonc'
